"","iter_mean_w","V1"
"1",0,1
"2",0,31
"3",0,6
"4",0,15
"5",0,11
"6",0,3
"7",0,11
"8",0,16
"9",0,22
"10",0,7
"11",0,0
"12",0,11
"13",0,40
"14",0,19
"15",0,11
"16",0,21
"17",0,4
"18",0,8
"19",0,5
"20",0,5
"21",0,0
"22",0,23
"23",0,2
"24",0,9
"25",0,4
"26",0,15
"27",0,13
"28",0,13
"29",0,12
"30",0,11
"31",0,34
"32",0,10
"33",0,17
"34",0,25
"35",0,7
"36",0,18
"37",0,39
"38",0,14
"39",0,10
"40",0,2
"41",0,6
"42",0,4
"43",0,3
"44",0,0
"45",0,4
"46",0,16
"47",0,7
"48",0,10
"49",0,7
"50",0,4
"51",0,10
"52",0,3
"53",0,11
"54",0,9
"55",0,9
"56",0,32
"57",0,0
"58",0,11
"59",0,36
"60",0,12
"61",0,3
"62",0,8
"63",0,8
"64",0,12
"65",0,0
"66",0,14
"67",0,3
"68",0,19
"69",0,1
"70",0,22
"71",0,5
"72",0,18
"73",0,4
"74",0,4
"75",0,0
"76",0,17
"77",0,8
"78",0,15
"79",0,0
"80",0,11
"81",0,12
"82",0,12
"83",0,27
"84",0,9
"85",0,8
"86",0,9
"87",0,5
"88",0,17
"89",0,2
"90",0,19
"91",0,16
"92",0,6
"93",0,1
"94",0,14
"95",0,18
"96",0,2
"97",0,4
"98",0,0
"99",0,10
"100",0,18
"101",0,16
"102",0,0
"103",0,7
"104",0,3
"105",0,19
"106",0,10
"107",0,0
"108",0,20
"109",0,0
"110",0,20
"111",0,14
"112",0,12
"113",0,2
"114",0,36
"115",0,8
"116",0,33
"117",0,16
"118",0,4
"119",0,2
"120",0,17
"121",0,23
"122",0,2
"123",0,4
"124",0,35
"125",0,5
"126",0,10
"127",0,0
"128",0,0
"129",0,0
"130",0,1
"131",0,8
"132",0,10
"133",0,17
"134",0,3
"135",0,0
"136",0,29
"137",0,8
"138",0,23
"139",0,10
"140",0,8
"141",0,24
"142",0,11
"143",0,21
"144",0,9
"145",0,2
"146",0,0
"147",0,6
"148",0,0
"149",0,0
"150",0,0
"151",0,2
"152",0,20
"153",0,3
"154",0,7
"155",0,8
"156",0,0
"157",0,11
"158",0,4
"159",0,9
"160",0,15
"161",0,9
"162",0,3
"163",0,19
"164",0,7
"165",0,3
"166",0,18
"167",0,4
"168",0,21
"169",0,12
"170",0,23
"171",0,7
"172",0,1
"173",0,24
"174",0,0
"175",0,0
"176",0,7
"177",0,19
"178",0,10
"179",0,17
"180",0,2
"181",0,23
"182",0,4
"183",0,28
"184",0,3
"185",0,15
"186",0,14
"187",0,9
"188",0,13
"189",0,1
"190",0,2
"191",0,16
"192",0,13
"193",0,2
"194",0,21
"195",0,0
"196",0,8
"197",0,12
"198",0,20
"199",0,19
"200",0,4
