"","iter_mean_w","V1","V1"
"1",0,4,4
"2",0,50,21
"3",0,5,4
"4",0,12,7
"5",0,3,2
"6",0,4,4
"7",0,5,3
"8",0,4,5
"9",0,4,4
"10",0,4,3
"11",0,0,0
"12",0,2,2
"13",0,5,5
"14",0,50,23
"15",0,5,3
"16",0,4,5
"17",0,5,3
"18",0,2,3
"19",0,3,5
"20",0,2,2
"21",0,0,0
"22",0,50,23
"23",0,5,3
"24",0,3,1
"25",0,3,2
"26",0,5,4
"27",0,4,4
"28",0,4,4
"29",0,50,23
"30",0,4,2
"31",0,2,3
"32",0,1,1
"33",0,3,3
"34",0,3,3
"35",0,4,4
"36",0,3,1
"37",0,2,3
"38",0,5,2
"39",0,3,3
"40",0,2,1
"41",0,3,4
"42",0,3,1
"43",0,4,4
"44",0,0,0
"45",0,2,2
"46",0,39,5
"47",0,50,9
"48",0,2,2
"49",0,4,4
"50",0,3,3
"51",0,2,2
"52",0,4,3
"53",0,5,6
"54",0,3,3
"55",0,3,3
"56",0,50,24
"57",0,0,0
"58",0,49,6
"59",0,50,18
"60",0,4,4
"61",0,3,3
"62",0,3,4
"63",0,4,1
"64",0,14,7
"65",0,0,0
"66",0,3,2
"67",0,2,2
"68",0,3,3
"69",0,5,4
"70",0,3,1
"71",0,50,22
"72",0,4,4
"73",0,3,3
"74",0,3,2
"75",0,0,0
"76",0,3,1
"77",0,50,13
"78",0,2,1
"79",0,0,0
"80",0,4,4
"81",0,3,3
"82",0,2,2
"83",0,4,4
"84",0,3,2
"85",0,5,4
"86",0,3,2
"87",0,4,4
"88",0,4,5
"89",0,3,4
"90",0,4,3
"91",0,3,4
"92",0,4,4
"93",0,47,5
"94",0,4,1
"95",0,50,22
"96",0,3,2
"97",0,4,3
"98",0,0,0
"99",0,50,19
"100",0,5,5
"101",0,4,3
"102",0,0,0
"103",0,2,2
"104",0,3,2
"105",0,2,2
"106",0,50,19
"107",0,0,0
"108",0,4,4
"109",0,0,0
"110",0,3,1
"111",0,3,3
"112",0,2,3
"113",0,2,1
"114",0,50,21
"115",0,3,2
"116",0,4,4
"117",0,3,4
"118",0,3,2
"119",0,6,1
"120",0,2,2
"121",0,50,27
"122",0,5,3
"123",0,2,3
"124",0,3,4
"125",0,2,2
"126",0,50,18
"127",0,0,0
"128",0,0,0
"129",0,0,0
"130",0,1,1
"131",0,4,3
"132",0,3,5
"133",0,4,2
"134",0,2,2
"135",0,0,0
"136",0,2,4
"137",0,4,3
"138",0,50,23
"139",0,4,4
"140",0,15,8
"141",0,5,5
"142",0,2,2
"143",0,3,3
"144",0,5,2
"145",0,2,4
"146",0,0,0
"147",0,3,3
"148",0,0,0
"149",0,0,0
"150",0,0,0
"151",0,5,1
"152",0,3,3
"153",0,2,3
"154",0,3,3
"155",0,4,4
"156",0,0,0
"157",0,3,2
"158",0,4,3
"159",0,2,2
"160",0,3,3
"161",0,3,2
"162",0,3,2
"163",0,5,5
"164",0,3,2
"165",0,4,3
"166",0,3,1
"167",0,2,2
"168",0,3,3
"169",0,1,2
"170",0,5,5
"171",0,4,4
"172",0,2,2
"173",0,3,3
"174",0,0,0
"175",0,0,0
"176",0,1,1
"177",0,2,2
"178",0,3,5
"179",0,4,4
"180",0,2,3
"181",0,50,20
"182",0,2,3
"183",0,50,21
"184",0,4,3
"185",0,2,2
"186",0,50,23
"187",0,5,4
"188",0,3,3
"189",0,5,2
"190",0,3,3
"191",0,4,4
"192",0,2,2
"193",0,1,1
"194",0,4,4
"195",0,0,0
"196",0,5,4
"197",0,2,3
"198",0,4,4
"199",0,5,5
"200",0,4,3
