"","x","mean","lower","upper"
"gp0.p[, 1]1",0,-0.371442022159069,-0.824209818848598,0.0813257745304609
"gp0.p[, 1]2",0.0050251256281407,-0.380748055973736,-0.831872688795475,0.0703765768480022
"gp0.p[, 1]3",0.0100502512562814,-0.390253835035979,-0.839632299328229,0.0591246292562702
"gp0.p[, 1]4",0.0150753768844221,-0.399956930041492,-0.847480808690648,0.0475669486076649
"gp0.p[, 1]5",0.0201005025125628,-0.409854293761574,-0.855409564527688,0.0357009770045396
"gp0.p[, 1]6",0.0251256281407035,-0.419942217299595,-0.863409061712577,0.0235246271133859
"gp0.p[, 1]7",0.0301507537688442,-0.430216284514937,-0.871468899370132,0.0110363303402586
"gp0.p[, 1]8",0.0351758793969849,-0.440671324617438,-0.879577737204121,-0.00176491203075402
"gp0.p[, 1]9",0.0402010050251256,-0.45130136294591,-0.887723251253593,-0.0148794746382265
"gp0.p[, 1]10",0.0452261306532663,-0.462099569956257,-0.895892089221865,-0.0283070506906482
"gp0.p[, 1]11",0.050251256281407,-0.473058208458356,-0.904069825542476,-0.0420465913742369
"gp0.p[, 1]12",0.0552763819095477,-0.484168579156168,-0.912240916368902,-0.0560962419434328
"gp0.p[, 1]13",0.0603015075376884,-0.495420964562839,-0.920388654699581,-0.0704532744260974
"gp0.p[, 1]14",0.0653266331658292,-0.506804571381941,-0.928495125876655,-0.0851140168872266
"gp0.p[, 1]15",0.0703517587939698,-0.518307471467696,-0.936541163726374,-0.100073779209017
"gp0.p[, 1]16",0.0753768844221106,-0.529916541501324,-0.944506307641125,-0.115326775361523
"gp0.p[, 1]17",0.0804020100502513,-0.541617401547668,-0.952368760938054,-0.130866042157282
"gp0.p[, 1]18",0.085427135678392,-0.553394352686354,-0.9601053508673,-0.146683354505408
"gp0.p[, 1]19",0.0904522613065327,-0.565230313945214,-0.967691490684256,-0.162769137206171
"gp0.p[, 1]20",0.0954773869346734,-0.577106758800717,-0.975101144245161,-0.179112373356273
"gp0.p[, 1]21",0.100502512562814,-0.589003651551273,-0.982306793634164,-0.195700509468381
"gp0.p[, 1]22",0.105527638190955,-0.600899383914618,-0.989279410382784,-0.212519357446453
"gp0.p[, 1]23",0.110552763819095,-0.612770712250686,-0.995988430899984,-0.229552993601389
"gp0.p[, 1]24",0.115577889447236,-0.624592695866607,-1.00240173679295,-0.246783654940262
