"","x","mean","lower","upper"
"gp.p[, 1]1",0,0.214045863405197,0.0602851847893486,0.367806542021046
"gp.p[, 1]2",0.0050251256281407,0.214023980402412,0.0602633469407528,0.367784613864071
"gp.p[, 1]3",0.0100502512562814,0.21399982334961,0.0602392451055927,0.367760401593628
"gp.p[, 1]4",0.0150753768844221,0.213973163630981,0.0602126528777105,0.367733674384252
"gp.p[, 1]5",0.0201005025125628,0.213943750677513,0.0601833223745699,0.367704178980455
"gp.p[, 1]6",0.0251256281407035,0.213911309998614,0.0601509823696726,0.367671637627556
"gp.p[, 1]7",0.0301507537688442,0.213875541056654,0.0601153362886718,0.367635745824636
"gp.p[, 1]8",0.0351758793969849,0.213836114974681,0.0600760600636101,0.367596169885752
"gp.p[, 1]9",0.0402010050251256,0.213792672067468,0.0600327998403608,0.367552544294575
"gp.p[, 1]10",0.0452261306532663,0.213744819185917,0.0599851695352205,0.367504468836613
"gp.p[, 1]11",0.050251256281407,0.213692126864933,0.059932748237755,0.367451505492111
"gp.p[, 1]12",0.0552763819095477,0.213634126265029,0.0598750774584818,0.367393175071576
"gp.p[, 1]13",0.0603015075376884,0.213570305898249,0.059811658221837,0.36732895357466
"gp.p[, 1]14",0.0653266331658292,0.213500108129533,0.0597419480072005,0.367258268251865
"gp.p[, 1]15",0.0703517587939698,0.213422925445371,0.0596653575436042,0.367180493347137
"gp.p[, 1]16",0.0753768844221106,0.213338096482608,0.0595812474672225,0.367094945497994
"gp.p[, 1]17",0.0804020100502513,0.213244901811591,0.0594889248549325,0.367000878768249
"gp.p[, 1]18",0.085427135678392,0.213142559469514,0.0593876396522463,0.366897479286782
"gp.p[, 1]19",0.0904522613065327,0.213030220241951,0.0592765810198821,0.366783859464019
"gp.p[, 1]20",0.0954773869346734,0.212906962693141,0.0591548736302894,0.366659051755992
"gp.p[, 1]21",0.100502512562814,0.212771787948773,0.059021573953726,0.36652200194382
"gp.p[, 1]22",0.105527638190955,0.21262361423882,0.0588756665831639,0.366371561894477
"gp.p[, 1]23",0.110552763819095,0.212461271212547,0.0587160606585581,0.366206481766536
"gp.p[, 1]24",0.115577889447236,0.2122834940432,0.0585415864640307,0.36602540162237
"gp.p[, 1]25",0.120603015075377,0.212088917346298,0.0583509922865103,0.365826842406087
"gp.p[, 1]26",0.125628140703518,0.211876068942867,0.0581429416415316,0.365609196244202
"gp.p[, 1]27",0.130653266331658,0.211643363507705,0.0579160109914605,0.36537071602395
"gp.p[, 1]28",0.135678391959799,0.211389096152837,0.0576686881035874,0.365109504202087
"gp.p[, 1]29",0.14070351758794,0.211111436007972,0.0573993712205409,0.364823500795403
"gp.p[, 1]30",0.14572864321608,0.210808419873192,0.0571063692435133,0.36451047050287
"gp.p[, 1]31",0.150753768844221,0.210477946034428,0.0567879031600614,0.364167988908795
"gp.p[, 1]32",0.155778894472362,0.210117768349799,0.056442108982876,0.363793427716723
"gp.p[, 1]33",0.160804020100503,0.209725490734755,0.0560670425040315,0.363383938965479
"gp.p[, 1]34",0.165829145728643,0.209298562196506,0.0556606862108564,0.362936438182155
"gp.p[, 1]35",0.170854271356784,0.208834272593601,0.0552209587546822,0.36244758643252
"gp.p[, 1]36",0.175879396984925,0.208329749325062,0.0547457274121673,0.361913771237958
"gp.p[, 1]37",0.180904522613065,0.207781955185425,0.0542328240304001,0.361331086340449
"gp.p[, 1]38",0.185929648241206,0.207187687657665,0.0536800650011076,0.360695310314223
"gp.p[, 1]39",0.190954773869347,0.206543579955563,0.0530852758654227,0.360001884045703
"gp.p[, 1]40",0.195979899497487,0.205846104170772,0.0524463212079397,0.359245887133604
"gp.p[, 1]41",0.201005025125628,0.205091576928069,0.0517611405561252,0.358422013300013
"gp.p[, 1]42",0.206030150753769,0.204276168004958,0.0510277910571461,0.357524544952769
"gp.p[, 1]43",0.21105527638191,0.203395912429298,0.0502444977571255,0.356547327101471
"gp.p[, 1]44",0.21608040201005,0.202446726630854,0.0494097123556603,0.355483740906049
"gp.p[, 1]45",0.221105527638191,0.201424429289591,0.0485221813486713,0.35432667723051
"gp.p[, 1]46",0.226130653266332,0.200324767595019,0.0475810245024215,0.353068510687617
"gp.p[, 1]47",0.231155778894472,0.1991434497065,0.046585824617496,0.351701074795504
"gp.p[, 1]48",0.236180904522613,0.197876184283548,0.0455367295398771,0.350215639027219
"gp.p[, 1]49",0.241206030150754,0.196518728037026,0.0444345673526436,0.348602888721408
"gp.p[, 1]50",0.246231155778894,0.195066942335323,0.0432809756314123,0.346852909039235
"gp.p[, 1]51",0.251256281407035,0.193516859982584,0.0420785455639668,0.344955174401202
"gp.p[, 1]52",0.256281407035176,0.191864763366461,0.0408309816134865,0.342898545119436
"gp.p[, 1]53",0.261306532663317,0.190107275247861,0.0395432772385687,0.340671273257153
"gp.p[, 1]54",0.266331658291457,0.188241463530893,0.0382219069641703,0.338261020097617
"gp.p[, 1]55",0.271356783919598,0.186264961403006,0.0368750348170392,0.335654887988973
"gp.p[, 1]56",0.276381909547739,0.184176104267054,0.0355127387873459,0.332839469746761
"gp.p[, 1]57",0.281407035175879,0.181974084891326,0.0341472505438405,0.329800919238812
"gp.p[, 1]58",0.28643216080402,0.179659128171024,0.0327932091000278,0.326525047242021
"gp.p[, 1]59",0.291457286432161,0.177232686813889,0.031467926488625,0.322997447139153
"gp.p[, 1]60",0.296482412060302,0.174697659119588,0.0301916627335626,0.319203655505614
"gp.p[, 1]61",0.301507537688442,0.172058629799858,0.0289879064928246,0.315129353106892
"gp.p[, 1]62",0.306532663316583,0.169322134463422,0.0278836566580304,0.310760612268813
"gp.p[, 1]63",0.311557788944724,0.166496947941011,0.0269096989107247,0.306084196971298
"gp.p[, 1]64",0.316582914572864,0.163594396020828,0.0261008697196372,0.301087922322019
"gp.p[, 1]65",0.321608040201005,0.160628689366557,0.0254962984820684,0.295761080251045
"gp.p[, 1]66",0.326633165829146,0.157617277354337,0.0251396164256781,0.290094938282996
"gp.p[, 1]67",0.331658291457286,0.154581218238649,0.025079118448917,0.284083318028381
"gp.p[, 1]68",0.336683417085427,0.151545560376357,0.0253678612385018,0.277723259514212
"gp.p[, 1]69",0.341708542713568,0.148539727127101,0.026063677704241,0.27101577654996
"gp.p[, 1]70",0.346733668341709,0.145597895416414,0.0272290839519342,0.263966706880893
"gp.p[, 1]71",0.351758793969849,0.142759354687442,0.0289310506013886,0.256587658773495
"gp.p[, 1]72",0.35678391959799,0.140068828950079,0.0312406051610811,0.248897052739077
"gp.p[, 1]73",0.361809045226131,0.137576739710701,0.0342322262772396,0.240921253144163
"gp.p[, 1]74",0.366834170854271,0.135339381551604,0.0379829838065633,0.232695779296645
"gp.p[, 1]75",0.371859296482412,0.133418974813795,0.0425713705070574,0.224266579120532
"gp.p[, 1]76",0.376884422110553,0.131883550968384,0.048075761069106,0.215691340867661
"gp.p[, 1]77",0.381909547738693,0.130806615543521,0.0545724207818235,0.207040810305218
"gp.p[, 1]78",0.386934673366834,0.130266520555441,0.0621329657270505,0.198400075383833
"gp.p[, 1]79",0.391959798994975,0.130345462861403,0.070821138890025,0.189869786832782
"gp.p[, 1]80",0.396984924623116,0.131128006223762,0.0806886799548875,0.181567332492637
"gp.p[, 1]81",0.402010050251256,0.132699002577692,0.091769812250536,0.173628192904847
"gp.p[, 1]82",0.407035175879397,0.135140761359989,0.104072903301244,0.166208619418734
