"","x","mean","lower","upper"
"gp0.p[, 1]1",0,0.494751804370316,0.491590216136338,0.497913392604295
"gp0.p[, 1]2",0.0050251256281407,0.495281956444256,0.487006300851269,0.503557612037244
"gp0.p[, 1]3",0.0100502512562814,0.495588129686592,0.480028539574677,0.511147719798506
"gp0.p[, 1]4",0.0150753768844221,0.495679414693473,0.472748170341574,0.518610659045372
"gp0.p[, 1]5",0.0201005025125628,0.49556862087289,0.465364624480759,0.525772617265022
"gp0.p[, 1]6",0.0251256281407035,0.495271332704704,0.457959946152756,0.532582719256651
"gp0.p[, 1]7",0.0301507537688442,0.494805118555159,0.450591791737576,0.539018445372741
"gp0.p[, 1]8",0.0351758793969849,0.494188870919353,0.443307870026164,0.545069871812542
"gp0.p[, 1]9",0.0402010050251256,0.493442259565505,0.436149651973216,0.550734867157793
"gp0.p[, 1]10",0.0452261306532663,0.492585281352422,0.429153678625813,0.55601688407903
"gp0.p[, 1]11",0.050251256281407,0.491637892520008,0.42235217573926,0.560923609300755
"gp0.p[, 1]12",0.0552763819095477,0.490619711041905,0.415773438636767,0.565465983447042
"gp0.p[, 1]13",0.0603015075376884,0.489549778206359,0.409442135637523,0.569657420775196
"gp0.p[, 1]14",0.0653266331658292,0.488446369980026,0.403379581626759,0.573513158333292
"gp0.p[, 1]15",0.0703517587939698,0.487326849931107,0.397603999591717,0.577049700270496
"gp0.p[, 1]16",0.0753768844221106,0.486207556562094,0.392130775227465,0.580284337896723
"gp0.p[, 1]17",0.0804020100502513,0.48510371884546,0.386972704804813,0.583234732886107
"gp0.p[, 1]18",0.085427135678392,0.484029394583272,0.382140234702779,0.585918554463765
"gp0.p[, 1]19",0.0904522613065327,0.482997426937429,0.377641690519665,0.588353163355192
"gp0.p[, 1]20",0.0954773869346734,0.48201941511334,0.373483493731385,0.590555336495295
"gp0.p[, 1]21",0.100502512562814,0.481105695737231,0.369670364130987,0.592541027343476
"gp0.p[, 1]22",0.105527638190955,0.480265331955755,0.366205506610001,0.594325157301509
"gp0.p[, 1]23",0.110552763819095,0.479506107714985,0.363090781163246,0.595921434266724
"gp0.p[, 1]24",0.115577889447236,0.478834525052131,0.360326855285706,0.597342194818556
"gp0.p[, 1]25",0.120603015075377,0.478255802564657,0.357913338173306,0.598598266956008
"gp0.p[, 1]26",0.125628140703518,0.477773873514407,0.355848896338004,0.59969885069081
"gp0.p[, 1]27",0.130653266331658,0.47739138228488,0.354131350405011,0.600651414164749
"gp0.p[, 1]28",0.135678391959799,0.477109678143382,0.352757752981394,0.60146160330537
"gp0.p[, 1]29",0.14070351758794,0.476928805471586,0.351724447576693,0.602133163366479
"gp0.p[, 1]30",0.14572864321608,0.476847489822789,0.351027108623533,0.602667871022045
"gp0.p[, 1]31",0.150753768844221,0.476863119346474,0.350660762695298,0.60306547599765
