"","x","mean","lower","upper"
"gp0.p[, 1]1",0,0.362884237000829,0.207922719685163,0.517845754316495
"gp0.p[, 1]2",0.0050251256281407,0.363719277554513,0.208812656837577,0.518625898271448
"gp0.p[, 1]3",0.0100502512562814,0.364600498316331,0.209755688332126,0.519445308300535
"gp0.p[, 1]4",0.0150753768844221,0.365529912654622,0.210754646540562,0.520305178768682
"gp0.p[, 1]5",0.0201005025125628,0.366509565409324,0.211812484175945,0.521206646642703
"gp0.p[, 1]6",0.0251256281407035,0.367541526248853,0.212932276036311,0.522150776461394
"gp0.p[, 1]7",0.0301507537688442,0.368627881947243,0.214117220268783,0.523138543625703
"gp0.p[, 1]8",0.0351758793969849,0.369770727475406,0.215370639061289,0.524170815889524
"gp0.p[, 1]9",0.0402010050251256,0.370972155793169,0.216695978656806,0.525248332929532
"gp0.p[, 1]10",0.0452261306532663,0.372234246221453,0.218096808571592,0.526371683871313
"gp0.p[, 1]11",0.050251256281407,0.37355905126657,0.219576819884111,0.52754128264903
"gp0.p[, 1]12",0.0552763819095477,0.374948581761222,0.221139822445339,0.528757341077105
"gp0.p[, 1]13",0.0603015075376884,0.376404790179477,0.222789740843659,0.530019839515295
"gp0.p[, 1]14",0.0653266331658292,0.377929551975958,0.224530608938824,0.531328495013093
"gp0.p[, 1]15",0.0703517587939698,0.379524644792658,0.226366562759225,0.53268272682609
"gp0.p[, 1]16",0.0753768844221106,0.381191725370609,0.228301831535266,0.534081619205952
"gp0.p[, 1]17",0.0804020100502513,0.382932303998049,0.230340726618761,0.535523881377337
"gp0.p[, 1]18",0.085427135678392,0.384747716322074,0.232487628014337,0.537007804629811
"gp0.p[, 1]19",0.0904522613065327,0.386639092347353,0.234746968223712,0.538531216470993
"gp0.p[, 1]20",0.0954773869346734,0.388607322443475,0.237123213077763,0.540091431809187
"gp0.p[, 1]21",0.100502512562814,0.390653020182438,0.239620839204693,0.541685201160183
"gp0.p[, 1]22",0.105527638190955,0.392776481829935,0.242244307755565,0.543308655904305
"gp0.p[, 1]23",0.110552763819095,0.394977642319074,0.244998033981508,0.544957250656641
"gp0.p[, 1]24",0.115577889447236,0.397256027543444,0.247886352230243,0.546625702856645
"gp0.p[, 1]25",0.120603015075377,0.399610702818733,0.250913475903983,0.548307929733484
"gp0.p[, 1]26",0.125628140703518,0.402040217379156,0.254083451896641,0.549996982861671
"gp0.p[, 1]27",0.130653266331658,0.404542544797576,0.25740010900655,0.551684980588602
"gp0.p[, 1]28",0.135678391959799,0.407115019247526,0.260866999802335,0.553363038692718
"gp0.p[, 1]29",0.14070351758794,0.409754267562331,0.264487335405267,0.555021199719394
"gp0.p[, 1]30",0.14572864321608,0.412456137092641,0.268263912642573,0.55664836154271
