"","x","mean","lower","upper"
"gp.p[, 1]1",0,0.323826889815001,0.170066211199152,0.477587568430849
"gp.p[, 1]2",0.0050251256281407,0.323805006812215,0.170044373350556,0.477565640273874
"gp.p[, 1]3",0.0100502512562814,0.323780849759414,0.170020271515396,0.477541428003432
"gp.p[, 1]4",0.0150753768844221,0.323754190040785,0.169993679287514,0.477514700794056
"gp.p[, 1]5",0.0201005025125628,0.323724777087316,0.169964348784373,0.477485205390259
"gp.p[, 1]6",0.0251256281407035,0.323692336408418,0.169932008779476,0.477452664037359
"gp.p[, 1]7",0.0301507537688442,0.323656567466457,0.169896362698475,0.477416772234439
"gp.p[, 1]8",0.0351758793969849,0.323617141384484,0.169857086473414,0.477377196295555
"gp.p[, 1]9",0.0402010050251256,0.323573698477271,0.169813826250164,0.477333570704378
"gp.p[, 1]10",0.0452261306532663,0.32352584559572,0.169766195945024,0.477285495246416
"gp.p[, 1]11",0.050251256281407,0.323473153274737,0.169713774647559,0.477232531901915
"gp.p[, 1]12",0.0552763819095477,0.323415152674832,0.169656103868285,0.477174201481379
"gp.p[, 1]13",0.0603015075376884,0.323351332308052,0.16959268463164,0.477109979984464
"gp.p[, 1]14",0.0653266331658292,0.323281134539336,0.169522974417004,0.477039294661668
"gp.p[, 1]15",0.0703517587939698,0.323203951855174,0.169446383953408,0.47696151975694
"gp.p[, 1]16",0.0753768844221106,0.323119122892412,0.169362273877026,0.476875971907797
"gp.p[, 1]17",0.0804020100502513,0.323025928221394,0.169269951264736,0.476781905178053
"gp.p[, 1]18",0.085427135678392,0.322923585879317,0.16916866606205,0.476678505696585
"gp.p[, 1]19",0.0904522613065327,0.322811246651754,0.169057607429686,0.476564885873823
"gp.p[, 1]20",0.0954773869346734,0.322687989102944,0.168935900040093,0.476440078165796
"gp.p[, 1]21",0.100502512562814,0.322552814358576,0.16880260036353,0.476303028353623
"gp.p[, 1]22",0.105527638190955,0.322404640648624,0.168656692992967,0.47615258830428
"gp.p[, 1]23",0.110552763819095,0.32224229762235,0.168497087068362,0.475987508176339
"gp.p[, 1]24",0.115577889447236,0.322064520453004,0.168322612873834,0.475806428032174
"gp.p[, 1]25",0.120603015075377,0.321869943756102,0.168132018696314,0.47560786881589
"gp.p[, 1]26",0.125628140703518,0.32165709535267,0.167923968051335,0.475390222654006
"gp.p[, 1]27",0.130653266331658,0.321424389917509,0.167697037401264,0.475151742433753
"gp.p[, 1]28",0.135678391959799,0.321170122562641,0.167449714513391,0.47489053061189
"gp.p[, 1]29",0.14070351758794,0.320892462417775,0.167180397630344,0.474604527205207
"gp.p[, 1]30",0.14572864321608,0.320589446282995,0.166887395653317,0.474291496912673
"gp.p[, 1]31",0.150753768844221,0.320258972444232,0.166568929569865,0.473949015318598
"gp.p[, 1]32",0.155778894472362,0.319898794759603,0.16622313539268,0.473574454126526
"gp.p[, 1]33",0.160804020100503,0.319506517144559,0.165848068913835,0.473164965375282
"gp.p[, 1]34",0.165829145728643,0.319079588606309,0.16544171262066,0.472717464591959
"gp.p[, 1]35",0.170854271356784,0.318615299003405,0.165001985164486,0.472228612842324
"gp.p[, 1]36",0.175879396984925,0.318110775734866,0.164526753821971,0.471694797647761
"gp.p[, 1]37",0.180904522613065,0.317562981595228,0.164013850440204,0.471112112750252
"gp.p[, 1]38",0.185929648241206,0.316968714067469,0.163461091410911,0.470476336724026
"gp.p[, 1]39",0.190954773869347,0.316324606365366,0.162866302275226,0.469782910455506
"gp.p[, 1]40",0.195979899497487,0.315627130580575,0.162227347617743,0.469026913543407
"gp.p[, 1]41",0.201005025125628,0.314872603337872,0.161542166965929,0.468203039709816
"gp.p[, 1]42",0.206030150753769,0.314057194414761,0.16080881746695,0.467305571362572
"gp.p[, 1]43",0.21105527638191,0.313176938839102,0.160025524166929,0.466328353511274
"gp.p[, 1]44",0.21608040201005,0.312227753040658,0.159190738765464,0.465264767315852
"gp.p[, 1]45",0.221105527638191,0.311205455699394,0.158303207758475,0.464107703640313
"gp.p[, 1]46",0.226130653266332,0.310105794004823,0.157362050912225,0.46284953709742
"gp.p[, 1]47",0.231155778894472,0.308924476116303,0.156366851027299,0.461482101205307
"gp.p[, 1]48",0.236180904522613,0.307657210693351,0.155317755949681,0.459996665437022
"gp.p[, 1]49",0.241206030150754,0.306299754446829,0.154215593762447,0.458383915131211
"gp.p[, 1]50",0.246231155778894,0.304847968745127,0.153062002041216,0.456633935449038
"gp.p[, 1]51",0.251256281407035,0.303297886392388,0.15185957197377,0.454736200811005
"gp.p[, 1]52",0.256281407035176,0.301645789776264,0.15061200802329,0.452679571529239
"gp.p[, 1]53",0.261306532663317,0.299888301657664,0.149324303648372,0.450452299666956
"gp.p[, 1]54",0.266331658291457,0.298022489940697,0.148002933373974,0.44804204650742
"gp.p[, 1]55",0.271356783919598,0.296045987812809,0.146656061226843,0.445435914398776
"gp.p[, 1]56",0.276381909547739,0.293957130676857,0.145293765197149,0.442620496156565
"gp.p[, 1]57",0.281407035175879,0.29175511130113,0.143928276953644,0.439581945648616
"gp.p[, 1]58",0.28643216080402,0.289440154580828,0.142574235509831,0.436306073651824
"gp.p[, 1]59",0.291457286432161,0.287013713223693,0.141248952898428,0.432778473548957
"gp.p[, 1]60",0.296482412060302,0.284478685529392,0.139972689143366,0.428984681915417
"gp.p[, 1]61",0.301507537688442,0.281839656209662,0.138768932902628,0.424910379516695
"gp.p[, 1]62",0.306532663316583,0.279103160873225,0.137664683067834,0.420541638678616
"gp.p[, 1]63",0.311557788944724,0.276277974350815,0.136690725320528,0.415865223381101
"gp.p[, 1]64",0.316582914572864,0.273375422430632,0.135881896129441,0.410868948731822
"gp.p[, 1]65",0.321608040201005,0.27040971577636,0.135277324891872,0.405542106660849
"gp.p[, 1]66",0.326633165829146,0.26739830376414,0.134920642835482,0.399875964692799
"gp.p[, 1]67",0.331658291457286,0.264362244648453,0.134860144858721,0.393864344438185
"gp.p[, 1]68",0.336683417085427,0.26132658678616,0.135148887648305,0.387504285924015
"gp.p[, 1]69",0.341708542713568,0.258320753536904,0.135844704114045,0.380796802959764
"gp.p[, 1]70",0.346733668341709,0.255378921826217,0.137010110361738,0.373747733290697
"gp.p[, 1]71",0.351758793969849,0.252540381097245,0.138712077011192,0.366368685183298
"gp.p[, 1]72",0.35678391959799,0.249849855359882,0.141021631570885,0.35867807914888
"gp.p[, 1]73",0.361809045226131,0.247357766120505,0.144013252687043,0.350702279553966
"gp.p[, 1]74",0.366834170854271,0.245120407961408,0.147764010216367,0.342476805706449
"gp.p[, 1]75",0.371859296482412,0.243200001223598,0.152352396916861,0.334047605530335
"gp.p[, 1]76",0.376884422110553,0.241664577378187,0.15785678747891,0.325472367277465
"gp.p[, 1]77",0.381909547738693,0.240587641953325,0.164353447191627,0.316821836715022
"gp.p[, 1]78",0.386934673366834,0.240047546965245,0.171913992136854,0.308181101793636
"gp.p[, 1]79",0.391959798994975,0.240126489271207,0.180602165299829,0.299650813242585
"gp.p[, 1]80",0.396984924623116,0.240909032633566,0.190469706364691,0.291348358902441
"gp.p[, 1]81",0.402010050251256,0.242480028987495,0.20155083866034,0.283409219314651
"gp.p[, 1]82",0.407035175879397,0.244921787769792,0.213853929711047,0.275989645828537
"gp.p[, 1]83",0.412060301507538,0.248310310406421,0.227343743170908,0.269276877641935
"gp.p[, 1]84",0.417085427135678,0.252710369249685,0.241859531935457,0.263561206563913
"gp.p[, 1]85",0.422110552763819,0.258169165321595,0.255007617829455,0.261330712813735
"gp.p[, 1]86",0.42713567839196,0.264708428212147,0.254006080293956,0.275410776130338
"gp.p[, 1]87",0.4321608040201,0.272319152764396,0.251929431542988,0.292708873985803
"gp.p[, 1]88",0.437185929648241,0.28096605849852,0.251194163624171,0.31073795337287
"gp.p[, 1]89",0.442211055276382,0.290594681812058,0.251979335868446,0.32921002775567
"gp.p[, 1]90",0.447236180904523,0.301136902722791,0.254339037660462,0.347934767785119
"gp.p[, 1]91",0.452261306532663,0.312515040040481,0.258283384640697,0.366746695440265
"gp.p[, 1]92",0.457286432160804,0.324644779147222,0.263795253832893,0.385494304461552
"gp.p[, 1]93",0.462311557788945,0.337437153455793,0.270837548275714,0.404036758635873
"gp.p[, 1]94",0.467336683417085,0.350799765234453,0.279357572150493,0.422241958318413
"gp.p[, 1]95",0.472361809045226,0.36463740285785,0.289289956271038,0.439984849444662
"gp.p[, 1]96",0.477386934673367,0.378852188875448,0.300558608162707,0.457145769588189
"gp.p[, 1]97",0.482412060301508,0.393343375955937,0.313077909782887,0.473608842128987
"gp.p[, 1]98",0.487437185929648,0.408006895295037,0.326753304049462,0.489260486540612
"gp.p[, 1]99",0.492462311557789,0.422734754132033,0.3414813803165,0.503988127947565
"gp.p[, 1]100",0.49748743718593,0.437414375407039,0.35714955698437,0.517679193829708
"gp.p[, 1]101",0.50251256281407,0.451927973234538,0.373635456713149,0.530220489755928
"gp.p[, 1]102",0.507537688442211,0.466152062824095,0.390806072862183,0.541498052786006
"gp.p[, 1]103",0.512562814070352,0.479957212930256,0.408516833427939,0.551397592432573
"gp.p[, 1]104",0.517587939698492,0.493208163178112,0.42661067965337,0.559805646702854
"gp.p[, 1]105",0.522613065326633,0.505764448148761,0.444917287678164,0.566611608619358
"gp.p[, 1]106",0.527638190954774,0.51748169553412,0.463252563933295,0.571710827134945
"gp.p[, 1]107",0.532663316582915,0.528213797766986,0.481418507652608,0.575009087881364
"gp.p[, 1]108",0.537688442211055,0.537816196273624,0.499203339739749,0.5764290528075
"gp.p[, 1]109",0.542713567839196,0.546150566070183,0.516380902715738,0.575920229424629
"gp.p[, 1]110",0.547738693467337,0.553091247262316,0.532703282243018,0.573479212281615
"gp.p[, 1]111",0.552763819095477,0.558533840820238,0.547832492747445,0.569235188893031
"gp.p[, 1]112",0.557788944723618,0.562406470820816,0.559244923426854,0.565568018214779
