"","x","mean","lower","upper"
"gp0.p[, 1]1",0,-1.14439545832535,-1.67103399696019,-0.617756919690521
"gp0.p[, 1]2",0.0050251256281407,-1.15121636990913,-1.67115615621804,-0.631276583600208
"gp0.p[, 1]3",0.0100502512562814,-1.15783208839711,-1.67093296021413,-0.644731216580086
"gp0.p[, 1]4",0.0150753768844221,-1.16422991254109,-1.67035147407459,-0.658108351007592
"gp0.p[, 1]5",0.0201005025125628,-1.17039679820069,-1.66939858595669,-0.671395010444682
"gp0.p[, 1]6",0.0251256281407035,-1.17631935848645,-1.6680610171945,-0.6845776997784
"gp0.p[, 1]7",0.0301507537688442,-1.18198386457988,-1.66632533344887,-0.697642395710899
"gp0.p[, 1]8",0.0351758793969849,-1.18737624728458,-1.66417795691633,-0.710574537652834
"gp0.p[, 1]9",0.0402010050251256,-1.19248209936577,-1.66160517965334,-0.723359019078204
"gp0.p[, 1]10",0.0452261306532663,-1.19728667873904,-1.65859317807482,-0.735980179403265
"gp0.p[, 1]11",0.050251256281407,-1.20177491257225,-1.65512802868777,-0.748421796456728
"gp0.p[, 1]12",0.0552763819095477,-1.20593140236858,-1.65119572512337,-0.760667079613786
"gp0.p[, 1]13",0.0603015075376884,-1.20974043010229,-1.64678219653295,-0.77269866367164
"gp0.p[, 1]14",0.0653266331658292,-1.2131859654829,-1.64187332741559,-0.78449860355021
"gp0.p[, 1]15",0.0703517587939698,-1.21625167442764,-1.6364549789475,-0.79604836990777
"gp0.p[, 1]16",0.0753768844221106,-1.21892092882668,-1.63051301188548,-0.807328845767888
"gp0.p[, 1]17",0.0804020100502513,-1.22117681769007,-1.62403331111914,-0.818320324261007
"gp0.p[, 1]18",0.085427135678392,-1.22300215977028,-1.61700181194889,-0.829002507591662
"gp0.p[, 1]19",0.0904522613065327,-1.2243795177595,-1.60940452816878,-0.839354507350223
"gp0.p[, 1]20",0.0954773869346734,-1.22529121416611,-1.60122758203553,-0.849354846296691
"gp0.p[, 1]21",0.100502512562814,-1.2257193489803,-1.59245723620733,-0.858981461753265
"gp0.p[, 1]22",0.105527638190955,-1.22564581924504,-1.58307992773783,-0.868211710752255
"gp0.p[, 1]23",0.110552763819095,-1.22505234065447,-1.57308230421265,-0.877022377096287
"gp0.p[, 1]24",0.115577889447236,-1.22392047130848,-1.56245126211783,-0.885389680499133
"gp0.p[, 1]25",0.120603015075377,-1.22223163775909,-1.55117398753061,-0.893289287987567
"gp0.p[, 1]26",0.125628140703518,-1.21996716349119,-1.53923799922503,-0.900696327757362
"gp0.p[, 1]27",0.130653266331658,-1.21710829998801,-1.52663119428534,-0.907585405690684
"gp0.p[, 1]28",0.135678391959799,-1.21363626053917,-1.51334189632154,-0.913930624756804
"gp0.p[, 1]29",0.14070351758794,-1.20953225695774,-1.49935890638144,-0.919705607534039
"gp0.p[, 1]30",0.14572864321608,-1.20477753938107,-1.48467155665403,-0.924883522108108
"gp0.p[, 1]31",0.150753768844221,-1.19935343933938,-1.4692697670584,-0.929437111620357
"gp0.p[, 1]32",0.155778894472362,-1.19324141628532,-1.45314410481137,-0.933338727759267
"gp0.p[, 1]33",0.160804020100503,-1.18642310778791,-1.43628584706586,-0.936560368509965
"gp0.p[, 1]34",0.165829145728643,-1.17888038360439,-1.41868704670936,-0.939073720499411
"gp0.p[, 1]35",0.170854271356784,-1.17059540385428,-1.40034060140886,-0.940850206299688
"gp0.p[, 1]36",0.175879396984925,-1.16155068153174,-1.38124032598499,-0.941861037078488
"gp0.p[, 1]37",0.180904522613065,-1.15172914960365,-1.36138102819289,-0.942077271014408
"gp0.p[, 1]38",0.185929648241206,-1.14111423295363,-1.34075858798161,-0.941469877925647
"gp0.p[, 1]39",0.190954773869347,-1.1296899254451,-1.31937004029689,-0.940009810593317
"gp0.p[, 1]40",0.195979899497487,-1.11744087239019,-1.29721366148419,-0.9376680832962
"gp0.p[, 1]41",0.201005025125628,-1.10435245872536,-1.27428905934014,-0.934415858110569
"gp0.p[, 1]42",0.206030150753769,-1.09041090320968,-1.25059726685119,-0.930224539568176
"gp0.p[, 1]43",0.21105527638191,-1.0756033589774,-1.22614083964915,-0.925065878305644
"gp0.p[, 1]44",0.21608040201005,-1.05991802079221,-1.20092395720557,-0.918912084378846
"gp0.p[, 1]45",0.221105527638191,-1.04334423936851,-1.17495252778265,-0.911735950954378
"gp0.p[, 1]46",0.226130653266332,-1.025872643142,-1.14823429716114,-0.903510989122862
"gp0.p[, 1]47",0.231155778894472,-1.00749526789102,-1.12077896118195,-0.894211574600085
"gp0.p[, 1]48",0.236180904522613,-0.988205694629517,-1.09259828217855,-0.883813107080487
