"","x","mean","lower","upper"
"gp0.p[, 1]1",0,-0.0684817688308836,-0.278113465800314,0.141149928138546
"gp0.p[, 1]2",0.0050251256281407,-0.0718757823605499,-0.280345711601346,0.136594146880246
"gp0.p[, 1]3",0.0100502512562814,-0.0754519643667957,-0.282625117451185,0.131721188717593
"gp0.p[, 1]4",0.0150753768844221,-0.0792159229940746,-0.284943956479505,0.126512110491356
"gp0.p[, 1]5",0.0201005025125628,-0.0831729300042996,-0.287293216617228,0.120947356608628
"gp0.p[, 1]6",0.0251256281407035,-0.0873278395104698,-0.289662510230827,0.115006831209888
"gp0.p[, 1]7",0.0301507537688442,-0.0916849986566109,-0.292039986992639,0.108669989679418
"gp0.p[, 1]8",0.0351758793969849,-0.096248149998029,-0.294412251986132,0.101915951990074
"gp0.p[, 1]9",0.0402010050251256,-0.101020325429899,-0.29676429139267,0.0947236405328731
"gp0.p[, 1]10",0.0452261306532663,-0.106003731634575,-0.299079408496954,0.0870719452278051
"gp0.p[, 1]11",0.050251256281407,-0.111199627174265,-0.301339173186471,0.0789399188379396
"gp0.p[, 1]12",0.0552763819095477,-0.116608191552258,-0.303523388610551,0.0703070055060351
"gp0.p[, 1]13",0.0603015075376884,-0.122228386810247,-0.30561007921183,0.0611533055913362
"gp0.p[, 1]14",0.0653266331658292,-0.128057812530156,-0.307575504951829,0.0514598798915167
"gp0.p[, 1]15",0.0703517587939698,-0.134092555476265,-0.309394207228088,0.0412090962755582
"gp0.p[, 1]16",0.0753768844221106,-0.140327035559065,-0.311039092727467,0.0303850216093378
"gp0.p[, 1]17",0.0804020100502513,-0.146753850339613,-0.312481562283929,0.0189738616047032
"gp0.p[, 1]18",0.085427135678392,-0.153363620937742,-0.313691692714354,0.00696445083887021
"gp0.p[, 1]19",0.0904522613065327,-0.160144842977279,-0.314638480598583,-0.00565120535597458
"gp0.p[, 1]20",0.0954773869346734,-0.167083747117086,-0.315290158057925,-0.0188773361762458
"gp0.p[, 1]21",0.100502512562814,-0.174164174802054,-0.315614591782901,-0.0327137578212068
"gp0.p[, 1]22",0.105527638190955,-0.181367476150494,-0.315579777890215,-0.0471551744107727
"gp0.p[, 1]23",0.110552763819095,-0.188672438405003,-0.315154446699696,-0.0621904301103097
"gp0.p[, 1]24",0.115577889447236,-0.196055255149003,-0.314308793316944,-0.0778017169810619
"gp0.p[, 1]25",0.120603015075377,-0.203489548571858,-0.313015352210179,-0.0939637449335363
"gp0.p[, 1]26",0.125628140703518,-0.210946459499221,-0.311250037287524,-0.110642881710918
"gp0.p[, 1]27",0.130653266331658,-0.218394822746128,-0.308993374526498,-0.127796270965758
"gp0.p[, 1]28",0.135678391959799,-0.225801448660208,-0.306231965093027,-0.145370932227389
"gp0.p[, 1]29",0.14070351758794,-0.233131535572109,-0.302960241870994,-0.163302829273224
"gp0.p[, 1]30",0.14572864321608,-0.240349242340564,-0.299182649190628,-0.1815158354905
"gp0.p[, 1]31",0.150753768844221,-0.247418455362781,-0.294916587536416,-0.199920323189147
"gp0.p[, 1]32",0.155778894472362,-0.254303790422263,-0.290197298741801,-0.218410282102725
"gp0.p[, 1]33",0.160804020100503,-0.260971876685749,-0.285090366762132,-0.236853386609365
"gp0.p[, 1]34",0.165829145728643,-0.267392978175482,-0.279760432727673,-0.25502552362329
"gp0.p[, 1]35",0.170854271356784,-0.273543017288094,-0.276704932418794,-0.270381102157394
"gp0.p[, 1]36",0.175879396984925,-0.279406014301123,-0.291636348636698,-0.267175679965548
"gp0.p[, 1]37",0.180904522613065,-0.284975494116989,-0.308558573509838,-0.261392414724141
"gp0.p[, 1]38",0.185929648241206,-0.290252455322147,-0.324944115545325,-0.255560795098969
"gp0.p[, 1]39",0.190954773869347,-0.295242306176944,-0.340599926299433,-0.249884686054455
"gp0.p[, 1]40",0.195979899497487,-0.299952216131988,-0.355428626725578,-0.244475805538399
"gp0.p[, 1]41",0.201005025125628,-0.304388869084387,-0.369359210590796,-0.239418527577978
"gp0.p[, 1]42",0.206030150753769,-0.308556554430114,-0.382334017595978,-0.234779091264251
"gp0.p[, 1]43",0.21105527638191,-0.31245554186393,-0.394303352344,-0.23060773138386
"gp0.p[, 1]44",0.21608040201005,-0.316080694736274,-0.405222075291276,-0.226939314181273
"gp0.p[, 1]45",0.221105527638191,-0.319420284774824,-0.41504699522092,-0.223793574328728
"gp0.p[, 1]46",0.226130653266332,-0.322454978280292,-0.42373472894336,-0.221175227617224
"gp0.p[, 1]47",0.231155778894472,-0.325156970663857,-0.431239908285295,-0.21907403304242
"gp0.p[, 1]48",0.236180904522613,-0.327489252551285,-0.437513683785354,-0.217464821317217
"gp0.p[, 1]49",0.241206030150754,-0.329404996773888,-0.442502502202809,-0.216307491344968
"gp0.p[, 1]50",0.246231155778894,-0.330847061533297,-0.446147148817124,-0.21554697424947
"gp0.p[, 1]51",0.251256281407035,-0.331747610997969,-0.448382054370031,-0.215113167625907
