"","x","es","order.num"
"1",0.894472361809045,-0.00276379108934423,179
"2",0.487437185929648,0.31190519426073,98
"3",0.668341708542714,-0.0386341705008834,134
"4",0.321608040201005,-0.375361679027589,65
"5",0.899497487437186,-0.000251256279494069,180
"6",0.442211055276382,0.361009928910238,89
"7",0.402010050251256,0.274369956420418,81
"8",0.381909547738693,0.16414434136918,77
"9",0.376884422110553,0.129219747680773,76
"10",0.547738693467337,0.163443197169332,110
"11",0.5678391959799,0.115095551313597,114
"111",0.5678391959799,0.115095551313597,114
