"","es"
"1",-0.604577408296694
"2",-0.616827149894337
"3",-0.624267550743355
"4",-0.626484797316092
"5",-0.623237363655731
"6",-0.614458287359034
"7",-0.600251304447811
"8",-0.580881473495904
"9",-0.556761064245653
"10",-0.528431582871078
"11",-0.496542857497828
"12",-0.461830117653084
"13",-0.425089975228872
"14",-0.387156158265116
"15",-0.348875768705188
"16",-0.311086737571243
"17",-0.274597041814517
"18",-0.240166132011378
"19",-0.208488904068207
"20",-0.180182435412844
"21",-0.155775600258823
"22",-0.135701582120024
"23",-0.120293216760048
"24",-0.109781026409803
"25",-0.104293746972143
"26",-0.103861104097463
"27",-0.10841856104265
"28",-0.117813740333362
"29",-0.131814211373654
"30",-0.150116336029811
"31",-0.172354872481085
"32",-0.198113052850873
"33",-0.226932870884583
"34",-0.258325340853386
"35",-0.29178051665123
"36",-0.326777089545812
"37",-0.362791413203895
"38",-0.399305834541354
"39",-0.435816237898946
"40",-0.471838737410057
"41",-0.506915477739838
"42",-0.540619526297588
"43",-0.572558860334987
"44",-0.602379469924578
"45",-0.629767612637954
"46",-0.65445126785945
"47",-0.676200848187844
"48",-0.694829232452971
"49",-0.710191189699498
"50",-0.722182266283883
"51",-0.730737209225596
"52",-0.735827998388531
"53",-0.737461558181338
"54",-0.735677216487222
"55",-0.730543974684555
"56",-0.722157648104282
"57",-0.710637931276359
"58",-0.696125437014013
"59",-0.678778752920405
"60",-0.658771553406524
"61",-0.63628979989117
"62",-0.611529056604618
"63",-0.584691944410033
"64",-0.55598575034751
"65",-0.525620206236951
"66",-0.493805445676114
"67",-0.460750145156288
"68",-0.426659851796923
"69",-0.391735497370439
"70",-0.356172095840701
"71",-0.320157619558704
"72",-0.28387204752791
"73",-0.247486577747131
"74",-0.211162994536089
"75",-0.175053180921754
"76",-0.139298765585222
"77",-0.104030893512332
"78",-0.0693701093298153
"79",-0.0354263423167261
"80",-0.00229898223374173
"81",0.0299229646126045
"82",0.0611606492790226
"83",0.0913450938211676
"84",0.12041685389191
"85",0.148325638974701
"86",0.17502989832948
"87",0.200496380114488
"88",0.224699670525324
"89",0.247621719172059
"90",0.269251356304158
"91",0.289583806897996
"92",0.308620206048263
"93",0.32636711955675
"94",0.342836073093167
"95",0.358043092815052
"96",0.372008259879082
"97",0.384755280855049
"98",0.396311075666635
"99",0.406705384329817
"100",0.415970393439503
"101",0.424140383066951
"102",0.431251394473407
"103",0.437340918817761
"104",0.442447606836289
"105",0.446610999298972
"106",0.449871277897785
"107",0.452269036095775
"108",0.453845069360083
"109",0.454640184115321
"110",0.45469502468434
"111",0.454049917429577
"112",0.452744731268338
"113",0.450818753707978
"114",0.448310581530529
"115",0.44525802524957
"116",0.441698026463753
"117",0.437666587240202
"118",0.433198710675976
"119",0.428328351805868
"120",0.423088378049196
"121",0.417510538416009
"122",0.411625440723711
"123",0.405462536107652
"124",0.3990501101434
"125",0.392415279933456
"126",0.385583996546852
"127",0.378581052235895
"128",0.371430091889948
"129",0.364153628221385
"130",0.35677306021335
"131",0.349308694392639
"132",0.341779768523608
"133",0.334204477350473
"134",0.326600000045563
"135",0.318982529049914
"136",0.311367300020078
"137",0.303768622621039
"138",0.29619991192976
"139",0.288673720237043
"140",0.281201769057146
"141",0.273794981174964
"142",0.266463512579544
"143",0.259216784150405
"144",0.252063512979482
"145",0.245011743226655
"146",0.238068876420801
"147",0.231241701131115
"148",0.224536421945208
"149",0.217958687701226
"150",0.211513618931007
"151",0.205205834480158
"152",0.199039477278963
"153",0.193018239245252
"154",0.187145385306841
"155",0.181423776536955
"156",0.175855892401189
"157",0.170443852119115
"158",0.165189435147653
"159",0.16009410079684
"160",0.155159006991639
"161",0.150385028196067
"162",0.14577277251812
"163",0.141322598015867
"164",0.137034628226592
"165",0.132908766942146
"166",0.128944712254637
"167",0.12514196989733
"168",0.121499865906191
"169",0.118017558627803
"170",0.114694050099604
"171",0.111528196828364
"172",0.108518719992766
"173",0.105664215095653
"174",0.10296316109124
"175",0.100413929012105
"176",0.0980147901203301
"177",0.0957639236065579
"178",0.0936594238601415
"179",0.0916993073328833
"180",0.0898815190181776
"181",0.0882039385666335
"182",0.0866643860585122
"183",0.085260627452549
"184",0.0839903797299543
"185",0.082851315751613
"186",0.0818410688457194
"187",0.0809572371423137
"188",0.0801973876704108
"189",0.0795590602326599
"190",0.0790397710717217
"191",0.0786370163418192
"192",0.0783482753982039
"193",0.0781710139165773
"194",0.0781026868538351
"195",0.0781407412608376
"196",0.0782826189572783
"197",0.0785257590781056
"198",0.0788676005003629
"199",0.0793055841587413
"200",0.0798371552575972
