"","iter_mean_w","V1"
"1",0,18
"2",0,50
"3",0,50
"4",0,50
"5",0,3
"6",0,27
"7",0,2
"8",0,50
"9",0,34
"10",0,1
"11",0,3
"12",0,50
"13",0,50
"14",0,50
"15",0,16
"16",0,31
"17",0,8
"18",0,4
"19",0,50
"20",0,50
"21",0,30
"22",0,11
"23",0,3
"24",0,1
"25",0,5
"26",0,31
"27",0,3
"28",0,6
"29",0,7
"30",0,4
"31",0,6
"32",0,7
"33",0,50
"34",0,28
"35",0,7
"36",0,22
"37",0,50
"38",0,50
"39",0,22
"40",0,50
"41",0,30
"42",0,8
"43",0,37
"44",0,14
"45",0,50
"46",0,6
"47",0,24
"48",0,50
"49",0,19
"50",0,50
"51",0,17
"52",0,50
"53",0,15
"54",0,34
"55",0,9
"56",0,10
"57",0,50
"58",0,3
"59",0,24
"60",0,33
"61",0,50
"62",0,50
"63",0,50
"64",0,4
"65",0,11
"66",0,14
"67",0,50
"68",0,50
"69",0,50
"70",0,50
"71",0,50
"72",0,6
"73",0,6
"74",0,4
"75",0,1
"76",0,10
"77",0,50
"78",0,50
"79",0,9
"80",0,20
"81",0,50
"82",0,19
"83",0,50
"84",0,5
"85",0,19
"86",0,49
"87",0,1
"88",0,50
"89",0,1
"90",0,20
"91",0,12
"92",0,50
"93",0,50
"94",0,5
"95",0,30
"96",0,2
"97",0,50
"98",0,4
"99",0,24
"100",0,50
"101",0,50
"102",0,2
"103",0,2
"104",0,10
"105",0,14
"106",0,2
"107",0,8
"108",0,21
"109",0,17
"110",0,18
"111",0,30
"112",0,6
"113",0,1
"114",0,5
"115",0,6
"116",0,50
"117",0,40
"118",0,9
"119",0,50
"120",0,50
"121",0,4
"122",0,3
"123",0,50
"124",0,11
"125",0,14
"126",0,50
"127",0,6
"128",0,10
"129",0,50
"130",0,12
"131",0,20
"132",0,50
"133",0,19
"134",0,1
"135",0,1
"136",0,50
"137",0,9
"138",0,50
"139",0,1
"140",0,50
"141",0,15
"142",0,50
"143",0,9
"144",0,30
"145",0,50
"146",0,50
"147",0,13
"148",0,48
"149",0,17
"150",0,10
"151",0,39
"152",0,18
"153",0,5
"154",0,50
"155",0,6
"156",0,6
"157",0,22
"158",0,50
"159",0,8
"160",0,24
"161",0,50
"162",0,12
"163",0,50
"164",0,33
"165",0,50
"166",0,5
"167",0,21
"168",0,15
"169",0,50
"170",0,2
"171",0,50
"172",0,36
"173",0,48
"174",0,50
"175",0,10
"176",0,7
"177",0,11
"178",0,50
"179",0,27
"180",0,2
"181",0,7
"182",0,4
"183",0,50
"184",0,50
"185",0,50
"186",0,1
"187",0,50
"188",0,3
"189",0,12
"190",0,2
"191",0,50
"192",0,4
"193",0,43
"194",0,2
"195",0,19
"196",0,50
"197",0,12
"198",0,12
"199",0,26
"200",0,34
