"","iter_mean_w","V1","V1"
"1",0,26,11
"2",0,50,23
"3",0,18,3
"4",0,11,4
"5",0,3,3
"6",0,30,50
"7",0,20,17
"8",0,11,36
"9",0,26,11
"10",0,13,9
"11",0,27,12
"12",0,31,3
"13",0,19,13
"14",0,50,50
"15",0,49,29
"16",0,30,32
"17",0,16,41
"18",0,35,8
"19",0,5,7
"20",0,36,35
"21",0,4,3
"22",0,40,10
"23",0,37,10
"24",0,37,12
"25",0,28,14
"26",0,26,19
"27",0,34,32
"28",0,50,43
"29",0,27,6
"30",0,45,29
"31",0,35,12
"32",0,12,11
"33",0,50,8
"34",0,48,50
"35",0,3,17
"36",0,22,21
"37",0,33,36
"38",0,14,50
"39",0,48,50
"40",0,41,13
"41",0,18,6
"42",0,50,16
"43",0,27,33
"44",0,40,23
"45",0,39,10
"46",0,28,4
"47",0,29,15
"48",0,3,6
"49",0,14,12
"50",0,37,24
"51",0,33,11
"52",0,35,14
"53",0,33,5
"54",0,23,12
"55",0,9,6
"56",0,19,25
"57",0,50,32
"58",0,22,18
"59",0,26,33
"60",0,28,26
"61",0,12,14
"62",0,42,9
"63",0,47,11
"64",0,39,6
"65",0,21,14
"66",0,33,18
"67",0,8,18
"68",0,50,50
"69",0,20,15
"70",0,23,16
"71",0,10,6
"72",0,27,25
"73",0,18,20
"74",0,50,29
"75",0,38,22
"76",0,26,50
"77",0,20,15
"78",0,40,38
"79",0,21,24
"80",0,10,29
"81",0,4,14
"82",0,17,14
"83",0,50,50
"84",0,17,11
"85",0,15,45
"86",0,50,50
"87",0,35,29
"88",0,12,9
"89",0,50,5
"90",0,50,50
"91",0,42,39
"92",0,18,50
"93",0,39,50
"94",0,26,20
"95",0,42,22
"96",0,33,27
"97",0,21,14
"98",0,2,12
"99",0,24,6
"100",0,12,50
"101",0,20,7
"102",0,27,8
"103",0,41,44
"104",0,11,25
"105",0,28,3
"106",0,26,34
"107",0,25,30
"108",0,23,18
"109",0,18,32
"110",0,46,17
"111",0,37,9
"112",0,50,34
"113",0,11,3
"114",0,5,10
"115",0,33,28
"116",0,24,50
"117",0,4,50
"118",0,21,38
"119",0,50,23
"120",0,10,7
"121",0,1,1
"122",0,15,14
"123",0,25,14
"124",0,7,8
"125",0,38,27
"126",0,32,13
"127",0,27,5
"128",0,13,4
"129",0,14,50
"130",0,12,19
"131",0,33,28
"132",0,37,43
"133",0,23,40
"134",0,16,8
"135",0,23,13
"136",0,16,16
"137",0,30,16
"138",0,38,14
"139",0,17,25
"140",0,24,3
"141",0,8,2
"142",0,39,50
"143",0,9,14
"144",0,16,23
"145",0,20,40
"146",0,31,16
"147",0,40,19
"148",0,36,4
"149",0,18,37
"150",0,24,33
"151",0,30,24
"152",0,38,12
"153",0,17,25
"154",0,50,44
"155",0,11,1
"156",0,11,13
"157",0,22,44
"158",0,41,28
"159",0,25,1
"160",0,22,42
"161",0,18,8
"162",0,25,12
"163",0,50,22
"164",0,24,18
"165",0,42,22
"166",0,17,5
"167",0,22,16
"168",0,23,7
"169",0,17,14
"170",0,50,50
"171",0,50,32
"172",0,17,28
"173",0,9,20
"174",0,50,13
"175",0,50,16
"176",0,30,50
"177",0,50,16
"178",0,50,48
"179",0,15,22
"180",0,7,20
"181",0,28,34
"182",0,29,45
"183",0,16,34
"184",0,12,23
"185",0,2,38
"186",0,40,42
"187",0,36,44
"188",0,14,4
"189",0,32,7
"190",0,34,16
"191",0,48,48
"192",0,39,50
"193",0,24,13
"194",0,27,31
"195",0,33,20
"196",0,22,8
"197",0,11,5
"198",0,20,16
"199",0,15,16
"200",0,41,32
