"","V1"
"1",-0.417444343332944
"2",-0.380022850366254
"3",0.447750853102897
"4",0.234460221689249
"5",1.60585530637933
"6",-0.0870011307378587
"7",0.261495517605352
"8",0.775101119544315
"9",0.595811863072261
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
