"","V1"
"1",0.84307181
"2",0.43155317
"3",0.33641078
"4",0.37323517
"5",-1.35016873
"6",0.15356979
"7",0.23102379
"8",0.22847184
"9",0.26365971
"10",0.17969816
"11",1.20786384
"12",0.67108907
"13",0.03815519
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
