"","iter_mean_w","V1"
"1",0,100
"2",0,21
"3",0,88
"4",0,84
"5",0,26
"6",0,28
"7",0,100
"8",0,9
"9",0,99
"10",0,100
"11",0,100
"12",0,100
"13",0,100
"14",0,7
"15",0,100
"16",0,100
"17",0,2
"18",0,32
"19",0,85
"20",0,100
"21",0,7
"22",0,83
"23",0,19
"24",0,50
"25",0,100
"26",0,100
"27",0,88
"28",0,62
"29",0,10
"30",0,100
"31",0,100
"32",0,54
"33",0,69
"34",0,2
"35",0,100
"36",0,56
"37",0,100
"38",0,100
"39",0,100
"40",0,17
"41",0,96
"42",0,100
"43",0,100
"44",0,15
"45",0,7
"46",0,25
"47",0,100
"48",0,44
"49",0,58
"50",0,100
"51",0,67
"52",0,84
"53",0,100
"54",0,72
"55",0,10
"56",0,100
"57",0,100
"58",0,15
"59",0,100
"60",0,42
"61",0,100
"62",0,15
"63",0,100
"64",0,100
"65",0,35
"66",0,100
"67",0,100
"68",0,61
"69",0,100
"70",0,86
"71",0,55
"72",0,84
"73",0,43
"74",0,25
"75",0,98
"76",0,100
"77",0,49
"78",0,92
"79",0,75
"80",0,100
"81",0,92
"82",0,89
"83",0,100
"84",0,51
"85",0,30
"86",0,15
"87",0,92
"88",0,100
"89",0,100
"90",0,100
"91",0,10
"92",0,100
"93",0,92
"94",0,51
"95",0,38
"96",0,64
"97",0,51
"98",0,100
"99",0,100
"100",0,31
