"","iter_mean_w","V1"
"1",0,100
"2",0,18
"3",0,20
"4",0,17
"5",0,22
"6",0,100
"7",0,29
"8",0,38
"9",0,68
"10",0,18
"11",0,5
"12",0,34
"13",0,32
"14",0,83
"15",0,8
"16",0,34
"17",0,60
"18",0,23
"19",0,30
"20",0,92
"21",0,13
"22",0,66
"23",0,29
"24",0,100
"25",0,22
"26",0,31
"27",0,1
"28",0,27
"29",0,9
"30",0,30
"31",0,67
"32",0,30
"33",0,3
"34",0,7
"35",0,61
"36",0,100
"37",0,11
"38",0,31
"39",0,41
"40",0,11
"41",0,44
"42",0,16
"43",0,46
"44",0,46
"45",0,15
"46",0,97
"47",0,8
"48",0,100
"49",0,6
"50",0,12
"51",0,45
"52",0,9
"53",0,47
"54",0,8
"55",0,46
"56",0,25
"57",0,100
"58",0,3
"59",0,35
"60",0,87
"61",0,10
"62",0,39
"63",0,16
"64",0,35
"65",0,100
"66",0,100
"67",0,100
"68",0,22
"69",0,23
"70",0,38
"71",0,3
"72",0,8
"73",0,14
"74",0,25
"75",0,52
"76",0,43
"77",0,30
"78",0,70
"79",0,20
"80",0,3
"81",0,55
"82",0,2
"83",0,18
"84",0,35
"85",0,8
"86",0,61
"87",0,21
"88",0,100
"89",0,100
"90",0,69
"91",0,8
"92",0,5
"93",0,36
"94",0,100
"95",0,53
"96",0,19
"97",0,100
"98",0,7
"99",0,30
"100",0,23
