"","iter_mean_w","V1","V1"
"1",0,100,100
"2",0,18,18
"3",0,20,24
"4",0,17,17
"5",0,22,17
"6",0,100,53
"7",0,29,100
"8",0,38,40
"9",0,68,64
"10",0,18,11
"11",0,5,5
"12",0,34,73
"13",0,32,30
"14",0,83,100
"15",0,8,11
"16",0,34,36
"17",0,60,67
"18",0,23,23
"19",0,30,28
"20",0,92,100
"21",0,13,12
"22",0,66,100
"23",0,29,28
"24",0,100,100
"25",0,22,19
"26",0,31,32
"27",0,1,1
"28",0,27,15
"29",0,9,8
"30",0,30,28
"31",0,67,86
"32",0,30,21
"33",0,3,3
"34",0,7,28
"35",0,61,61
"36",0,100,100
"37",0,11,11
"38",0,31,74
"39",0,41,43
"40",0,11,10
"41",0,44,38
"42",0,16,11
"43",0,46,26
"44",0,46,28
"45",0,15,19
"46",0,97,100
"47",0,8,13
"48",0,100,100
"49",0,6,6
"50",0,12,13
"51",0,45,20
"52",0,9,5
"53",0,47,100
"54",0,8,8
"55",0,46,57
"56",0,25,34
"57",0,100,12
"58",0,3,6
"59",0,35,37
"60",0,87,50
"61",0,10,7
"62",0,39,68
"63",0,16,22
"64",0,35,25
"65",0,100,100
"66",0,100,100
"67",0,100,100
"68",0,22,5
"69",0,23,20
"70",0,38,39
"71",0,3,2
"72",0,8,8
"73",0,14,4
"74",0,25,37
"75",0,52,19
"76",0,43,29
"77",0,30,27
"78",0,70,90
"79",0,20,13
"80",0,3,40
"81",0,55,100
"82",0,2,2
"83",0,18,18
"84",0,35,32
"85",0,8,10
"86",0,61,55
"87",0,21,22
"88",0,100,100
"89",0,100,100
"90",0,69,56
"91",0,8,8
"92",0,5,6
"93",0,36,38
"94",0,100,100
"95",0,53,46
"96",0,19,40
"97",0,100,63
"98",0,7,7
"99",0,30,31
"100",0,23,23
