"","iter_mean_w","V1"
"1",0,100
"2",0,17
"3",0,35
"4",0,15
"5",0,17
"6",0,43
"7",0,43
"8",0,60
"9",0,100
"10",0,12
"11",0,3
"12",0,29
"13",0,38
"14",0,100
"15",0,62
"16",0,41
"17",0,73
"18",0,25
"19",0,28
"20",0,100
"21",0,13
"22",0,39
"23",0,58
"24",0,100
"25",0,49
"26",0,32
"27",0,1
"28",0,14
"29",0,10
"30",0,12
"31",0,100
"32",0,3
"33",0,6
"34",0,13
"35",0,67
"36",0,44
"37",0,11
"38",0,58
"39",0,46
"40",0,13
"41",0,17
"42",0,17
"43",0,26
"44",0,49
"45",0,70
"46",0,95
"47",0,19
"48",0,71
"49",0,4
"50",0,13
"51",0,63
"52",0,5
"53",0,93
"54",0,6
"55",0,77
"56",0,10
"57",0,51
"58",0,7
"59",0,35
"60",0,26
"61",0,7
"62",0,9
"63",0,25
"64",0,14
"65",0,93
"66",0,95
"67",0,100
"68",0,27
"69",0,21
"70",0,39
"71",0,6
"72",0,8
"73",0,4
"74",0,50
"75",0,40
"76",0,82
"77",0,29
"78",0,96
"79",0,11
"80",0,27
"81",0,58
"82",0,7
"83",0,18
"84",0,32
"85",0,10
"86",0,64
"87",0,18
"88",0,100
"89",0,100
"90",0,71
"91",0,8
"92",0,6
"93",0,39
"94",0,100
"95",0,17
"96",0,18
"97",0,63
"98",0,9
"99",0,31
"100",0,23
