"","iter_mean_w","V1"
"1",0,100
"2",0,22
"3",0,22
"4",0,18
"5",0,24
"6",0,48
"7",0,40
"8",0,61
"9",0,66
"10",0,67
"11",0,6
"12",0,52
"13",0,26
"14",0,100
"15",0,5
"16",0,21
"17",0,49
"18",0,30
"19",0,30
"20",0,95
"21",0,13
"22",0,37
"23",0,7
"24",0,100
"25",0,33
"26",0,38
"27",0,1
"28",0,20
"29",0,9
"30",0,12
"31",0,23
"32",0,51
"33",0,2
"34",0,29
"35",0,37
"36",0,61
"37",0,10
"38",0,59
"39",0,24
"40",0,6
"41",0,41
"42",0,15
"43",0,31
"44",0,27
"45",0,23
"46",0,100
"47",0,10
"48",0,100
"49",0,7
"50",0,9
"51",0,56
"52",0,11
"53",0,100
"54",0,8
"55",0,32
"56",0,36
"57",0,36
"58",0,2
"59",0,38
"60",0,69
"61",0,50
"62",0,70
"63",0,16
"64",0,23
"65",0,100
"66",0,72
"67",0,100
"68",0,23
"69",0,22
"70",0,35
"71",0,2
"72",0,8
"73",0,10
"74",0,39
"75",0,18
"76",0,70
"77",0,24
"78",0,56
"79",0,84
"80",0,59
"81",0,20
"82",0,10
"83",0,17
"84",0,20
"85",0,28
"86",0,82
"87",0,22
"88",0,100
"89",0,100
"90",0,54
"91",0,8
"92",0,100
"93",0,37
"94",0,96
"95",0,23
"96",0,18
"97",0,100
"98",0,7
"99",0,28
"100",0,34
