"","iter_mean_w","V1"
"1",0,100
"2",0,13
"3",0,23
"4",0,5
"5",0,79
"6",0,100
"7",0,100
"8",0,82
"9",0,100
"10",0,100
"11",0,16
"12",0,27
"13",0,27
"14",0,100
"15",0,12
"16",0,100
"17",0,22
"18",0,14
"19",0,47
"20",0,100
"21",0,3
"22",0,23
"23",0,2
"24",0,100
"25",0,24
"26",0,100
"27",0,1
"28",0,100
"29",0,47
"30",0,8
"31",0,50
"32",0,8
"33",0,1
"34",0,7
"35",0,64
"36",0,100
"37",0,23
"38",0,32
"39",0,30
"40",0,2
"41",0,10
"42",0,2
"43",0,72
"44",0,8
"45",0,17
"46",0,100
"47",0,4
"48",0,1
"49",0,4
"50",0,5
"51",0,35
"52",0,63
"53",0,44
"54",0,2
"55",0,55
"56",0,89
"57",0,28
"58",0,2
"59",0,43
"60",0,43
"61",0,5
"62",0,47
"63",0,7
"64",0,10
"65",0,100
"66",0,21
"67",0,100
"68",0,28
"69",0,85
"70",0,16
"71",0,5
"72",0,8
"73",0,100
"74",0,3
"75",0,5
"76",0,100
"77",0,18
"78",0,87
"79",0,43
"80",0,100
"81",0,23
"82",0,3
"83",0,21
"84",0,26
"85",0,45
"86",0,84
"87",0,100
"88",0,100
"89",0,100
"90",0,77
"91",0,10
"92",0,100
"93",0,10
"94",0,100
"95",0,5
"96",0,3
"97",0,100
"98",0,7
"99",0,100
"100",0,44
